amfi_code,scheme_name,cagr_3yr_pct,sharpe_ratio,alpha,beta,expense_ratio_pct,max_drawdown,cagr_score,sharpe_score,alpha_score,expense_score,drawdown_score,score
148567,Mirae Asset Large Cap Fund - Regular - Growth,33.965137119868835,1.4625040290030804,0.2698375144191807,0.023683558075848616,1.46,-0.11265729075028275,97.5,100.0,85.0,45.0,82.5,86.25
120505,ICICI Pru Midcap Fund - Regular - Growth,31.74436308745623,1.1905585963067515,0.2926358334175106,0.000549004250631731,1.36,-0.18188513572116294,90.0,90.0,95.0,65.0,40.0,82.25
120843,Kotak Flexicap Fund - Regular - Growth,29.552134060824443,1.3194419817117229,0.27330465038306057,-0.02282956979242654,1.45,-0.1297396816518679,85.0,97.5,90.0,47.5,70.0,82.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.40850991427369,1.1043517629506803,0.2719535450128533,0.005103525830528313,1.38,-0.16217208574644848,92.5,85.0,87.5,60.0,52.5,80.75
120504,ICICI Pru Bluechip Fund - Direct - Growth,32.45342649474243,1.0405688566490556,0.2119482701352573,0.016232169761417024,0.8,-0.12588275606922517,95.0,77.5,70.0,72.5,72.5,80.0
119094,Axis Midcap Fund - Regular - Growth,35.074709086225695,1.0086257891314458,0.2607666908004223,-0.0662654286280376,1.38,-0.20960883862039192,100.0,75.0,80.0,60.0,32.5,77.0
119551,SBI Bluechip Fund - Regular Plan - Growth,30.424881857729027,1.222947214685128,0.23201007160635082,-0.03175144113890976,1.54,-0.1501238549864533,87.5,92.5,77.5,26.25,60.0,74.8125
148569,Mirae Asset Tax Saver Fund - Regular - Growth,29.14872861769462,1.246344140962054,0.2827036785246582,0.01813388408385925,1.6,-0.1639674294693263,82.5,95.0,92.5,11.25,50.0,73.6875
101206,ABSL Frontline Equity Fund - Regular - Growth,28.937763405434435,1.0410608155745147,0.21399784776051212,0.02108631625012804,1.6,-0.11291596329323073,80.0,80.0,72.5,11.25,80.0,68.1875
119598,SBI Small Cap Fund - Regular Plan - Growth,26.64260140461172,0.9533324621776285,0.3033696538698332,-0.02319606204405971,1.43,-0.2870600572176455,72.5,67.5,100.0,50.0,12.5,67.375
149323,DSP Midcap Fund - Regular - Growth,26.842444431705136,1.1434895599140875,0.26598577542043045,-0.002523004664699212,1.61,-0.17248105753451382,75.0,87.5,82.5,7.5,47.5,66.75
149324,DSP Small Cap Fund - Regular - Growth,26.972732850707693,0.9579170598994402,0.3005787817097677,0.011455159960520695,1.52,-0.31171900300634214,77.5,70.0,97.5,36.25,10.0,66.6875
118632,Nippon India Large Cap Fund - Regular - Growth,22.629511932923396,1.095917599266092,0.21829397904608644,-0.008353832126962014,1.51,-0.17414075086657232,67.5,82.5,75.0,41.25,45.0,66.5625
119552,SBI Bluechip Fund - Direct Plan - Growth,16.25138426608188,0.9677516848309513,0.1986859936686296,-0.02615930751351341,0.66,-0.11803493502764295,45.0,72.5,65.0,92.5,75.0,66.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,18.41620726117941,0.7895427197023165,0.17729754927531766,0.048820404259577385,0.92,-0.15200013055606398,55.00000000000001,55.00000000000001,62.5,67.5,57.49999999999999,58.625
118635,Nippon India ETF Nifty 50 BeES,19.988238972733384,0.680395062140252,0.1513635464823924,-0.001433521389780139,0.89,-0.1165062450540909,60.0,52.5,45.0,70.0,77.5,58.375
118633,Nippon India Large Cap Fund - Direct - Growth,21.068835853974164,0.6596198173038671,0.15643835948169668,-0.03663900671860934,0.72,-0.18629743138595511,65.0,47.5,47.5,88.75,37.5,57.9375
102885,UTI Nifty 50 Index Fund - Regular - Growth,19.64765998294764,0.8328147683762689,0.17048756803412696,-0.019486785689474536,1.57,-0.1085986215250232,57.49999999999999,60.0,55.00000000000001,17.5,85.0,54.375
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.733633408192425,0.9393621577599308,0.20873010086942337,-0.02638771994384303,1.52,-0.1527259422823477,42.5,65.0,67.5,36.25,55.00000000000001,53.4375
120503,ICICI Pru Bluechip Fund - Regular - Growth,13.964776200833583,0.8125023019488139,0.17703302365844073,-0.0402689523698206,1.42,-0.13897862823061635,40.0,57.49999999999999,60.0,52.5,67.5,53.0
120507,ICICI Pru Liquid Fund - Regular - Growth,7.387296414584221,0.9041623305389638,0.06746210411099539,-0.0004440926329707226,0.74,-0.0009773140045925555,30.0,62.5,25.0,85.0,100.0,52.375
120506,ICICI Pru Value Discovery Fund - Regular - Growth,18.403728511876327,0.6621241011051731,0.1625385327998104,0.04189646272811975,1.41,-0.1982565826298267,52.5,50.0,52.5,55.00000000000001,35.0,50.5
119093,Axis Bluechip Fund - Direct - Growth,20.795927128609048,0.1440412221042839,0.08232801295222093,0.02588321244009315,0.75,-0.21751396370148224,62.5,27.500000000000004,32.5,82.5,25.0,47.0
102887,UTI Flexi Cap Fund - Regular - Growth,25.5301190076052,0.6323192432780438,0.16211256794033255,0.016682689437770806,1.64,-0.21539827112383225,70.0,45.0,50.0,3.75,27.500000000000004,45.5625
